complaint_type,dow,hour,n
Illegal Parking,2,7,9194
Illegal Parking,2,8,11337
Illegal Parking,2,9,10312
Illegal Parking,3,0,5127
Illegal Parking,3,1,3081
Illegal Parking,3,10,8179
Illegal Parking,3,11,7670
Illegal Parking,3,12,7389
Illegal Parking,3,13,7416
Illegal Parking,3,14,7004
Illegal Parking,3,15,6738
Illegal Parking,3,16,6373
Illegal Parking,3,17,7389
Illegal Parking,3,18,7791
Illegal Parking,3,19,7291
Illegal Parking,3,2,2266
Illegal Parking,3,20,7520
Illegal Parking,3,21,8866
Illegal Parking,3,22,7801
Illegal Parking,3,23,5886
Illegal Parking,3,3,1939
Illegal Parking,3,4,2383
Illegal Parking,3,5,3460
Illegal Parking,3,6,5528
Illegal Parking,3,7,9070
Illegal Parking,3,8,10647
Illegal Parking,3,9,9639
Illegal Parking,4,0,4819
Illegal Parking,4,1,2852
Illegal Parking,4,10,8369
Illegal Parking,4,11,8466
Illegal Parking,4,12,8306
Illegal Parking,4,13,7103
Illegal Parking,4,14,6946
Illegal Parking,4,15,6748
Illegal Parking,4,16,6560
Illegal Parking,4,17,7249
Illegal Parking,4,18,7525
Illegal Parking,4,19,7063
Illegal Parking,4,2,2210
Illegal Parking,4,20,7402
Illegal Parking,4,21,8861
Illegal Parking,4,22,7679
Illegal Parking,4,23,5935
Illegal Parking,4,3,1926
Illegal Parking,4,4,2370
Illegal Parking,4,5,3318
Illegal Parking,4,6,5170
Illegal Parking,4,7,9303
Illegal Parking,4,8,10978
Illegal Parking,4,9,10133
Illegal Parking,5,0,5060
Illegal Parking,5,1,2967
Illegal Parking,5,10,8593
Illegal Parking,5,11,8435
Illegal Parking,5,12,8227
Illegal Parking,5,13,8035
Illegal Parking,5,14,7069
Illegal Parking,5,15,6234
Illegal Parking,5,16,6571
Illegal Parking,5,17,7151
Illegal Parking,5,18,7434
Illegal Parking,5,19,6909
Illegal Parking,5,2,2310
Illegal Parking,5,20,7117
Illegal Parking,5,21,8482
Illegal Parking,5,22,7667
Illegal Parking,5,23,6301
Illegal Parking,5,3,1992
Illegal Parking,5,4,2402
Illegal Parking,5,5,3281
Illegal Parking,5,6,4989
Illegal Parking,5,7,8545
Illegal Parking,5,8,10565
Illegal Parking,5,9,9992
Illegal Parking,6,0,5655
Illegal Parking,6,1,3482
Illegal Parking,6,10,7379
Illegal Parking,6,11,7028
Illegal Parking,6,12,7281
Illegal Parking,6,13,6962
Illegal Parking,6,14,6814
Illegal Parking,6,15,6690
Illegal Parking,6,16,6382
Illegal Parking,6,17,6355
Illegal Parking,6,18,6611
Illegal Parking,6,19,6845
Illegal Parking,6,2,2548
Illegal Parking,6,20,7250
Illegal Parking,6,21,8876
Illegal Parking,6,22,8335
Illegal Parking,6,23,6921
Illegal Parking,6,3,2377
Illegal Parking,6,4,2219
Illegal Parking,6,5,2427
Illegal Parking,6,6,4668
Illegal Parking,6,7,5243
Illegal Parking,6,8,6803
Illegal Parking,6,9,7171
Noise - Residential,0,0,21493
Noise - Residential,0,1,16140
Noise - Residential,0,10,3858
Noise - Residential,0,11,4294
Noise - Residential,0,12,4313
Noise - Residential,0,13,4558
Noise - Residential,0,14,5099
Noise - Residential,0,15,5267
Noise - Residential,0,16,5847
Noise - Residential,0,17,6247
Noise - Residential,0,18,6938
Noise - Residential,0,19,7609
Noise - Residential,0,2,10000
Noise - Residential,0,20,8811
Noise - Residential,0,21,10682
Noise - Residential,0,22,13786
Noise - Residential,0,23,12037
Noise - Residential,0,3,7264
Noise - Residential,0,4,5199
Noise - Residential,0,5,4051
Noise - Residential,0,6,3246
Noise - Residential,0,7,3064
Noise - Residential,0,8,3360
Noise - Residential,0,9,3660
Noise - Residential,1,0,9846
Noise - Residential,1,1,6352
Noise - Residential,1,10,3420
Noise - Residential,1,11,3324
Noise - Residential,1,12,3278
Noise - Residential,1,13,3302
Noise - Residential,1,14,3515
Noise - Residential,1,15,3883
Noise - Residential,1,16,4036
Noise - Residential,1,17,4407
Noise - Residential,1,18,4860
Noise - Residential,1,19,5404
Noise - Residential,1,2,4341
Noise - Residential,1,20,6160
Noise - Residential,1,21,6886
Noise - Residential,1,22,8766
Noise - Residential,1,23,7677
Noise - Residential,1,3,3552
Noise - Residential,1,4,3064
Noise - Residential,1,5,3075
Noise - Residential,1,6,2966
Noise - Residential,1,7,3020
Noise - Residential,1,8,3168
Noise - Residential,1,9,3265
Noise - Residential,2,0,6041
Noise - Residential,2,1,4173
Noise - Residential,2,10,2750
Noise - Residential,2,11,2882
Noise - Residential,2,12,3004
Noise - Residential,2,13,3162
Noise - Residential,2,14,3269
Noise - Residential,2,15,3606
Noise - Residential,2,16,3737
Noise - Residential,2,17,4488
Noise - Residential,2,18,5326
Noise - Residential,2,19,5946
Noise - Residential,2,2,2987
Noise - Residential,2,20,6832
Noise - Residential,2,21,7764
Noise - Residential,2,22,9010
Noise - Residential,2,23,8461
Noise - Residential,2,3,2523
Noise - Residential,2,4,2059
Noise - Residential,2,5,1913
Noise - Residential,2,6,2191
Noise - Residential,2,7,2067
Noise - Residential,2,8,2074
Noise - Residential,2,9,2215
Noise - Residential,3,0,6664
Noise - Residential,3,1,4414
Noise - Residential,3,10,2894
Noise - Residential,3,11,2917
Noise - Residential,3,12,2829
Noise - Residential,3,13,2810
Noise - Residential,3,14,2853
Noise - Residential,3,15,3124
Noise - Residential,3,16,3291
Noise - Residential,3,17,3707
Noise - Residential,3,18,4257
Noise - Residential,3,19,4818
Noise - Residential,3,2,3480
Noise - Residential,3,20,5577
Noise - Residential,3,21,6278
Noise - Residential,3,22,8271
Noise - Residential,3,23,7533
Noise - Residential,3,3,2732
